"75804,""718300"",""870970-basis:51081307"",""k"",""1991-01-01"",""2015-01-01"""
"59487,""718300"",""870970-basis:51108906"",""k"",""1956-01-01"",""2015-01-01"""
"59488,""718300"",""870970-basis:50575489"",""k"",""1969-01-01"",""2015-01-01"""
"59488,""718300"",""870970-basis:29475385"",""k"",""1969-01-01"",""2015-01-01"""
"75805,""718300"",""870970-basis:51498712"",""m"",""1939-01-01"",""2015-01-01"""
"59490,""718300"",""870970-basis:27546471"",""m"",""1944-01-01"",""2015-01-01"""
"64483,""718300"",""870970-basis:51411145"",""m"",""2002-01-01"",""2015-01-01"""
"59491,""718300"",""870970-basis:22466100"",""k"",""2003-01-01"",""2015-01-01"""
"59492,""718300"",""870970-basis:50609804"",""k"",""1935-01-01"",""2015-01-01"""
"59493,""718300"",""870970-basis:27068197"",""k"",""1958-01-01"",""2015-01-01"""
"59493,""718300"",""870970-basis:51134370"",""k"",""1958-01-01"",""2015-01-01"""
"59493,""718300"",""870970-basis:28722249"",""k"",""1958-01-01"",""2015-01-01"""
"59494,""718300"",""870970-basis:28458649"",""k"",""1991-01-01"",""2015-01-01"""
"59495,""718300"",""870970-basis:29022682"",""k"",""1963-01-01"",""2015-01-01"""
"75806,""718300"",""870970-basis:50816559"",""k"",""2004-01-01"",""2015-01-01"""
"75807,""718300"",""870970-basis:28989431"",""k"",""1975-01-01"",""2015-01-01"""
"59498,""718300"",""870970-basis:50635546"",""k"",""1990-01-01"",""2015-01-01"""
"59499,""718300"",""870970-basis:51532481"",""k"",""1963-01-01"",""2015-01-01"""
"59500,""718300"",""870970-basis:25630947"",""m"",""1984-01-01"",""2015-01-01"""
"59501,""718300"",""870970-basis:29732116"",""k"",""2005-01-01"",""2015-01-01"""
"75808,""718300"",""870970-basis:20785020"",""k"",""2003-01-01"",""2015-01-01"""
"59503,""718300"",""870970-basis:28004893"",""k"",""1975-01-01"",""2015-01-01"""
"59503,""718300"",""870970-basis:22642685"",""k"",""1975-01-01"",""2015-01-01"""
"59503,""718300"",""870970-basis:20969083"",""k"",""1975-01-01"",""2015-01-01"""
"59504,""718300"",""870970-basis:51105478"",""k"",""1988-01-01"",""2015-01-01"""
"59505,""718300"",""870970-basis:26407192"",""k"",""1971-01-01"",""2015-01-01"""
"75809,""718300"",""870970-basis:51363264"",""m"",""1985-01-01"",""2015-01-01"""
"59507,""718300"",""870970-basis:51292200"",""m"",""1942-01-01"",""2015-01-01"""
"64491,""718300"",""870970-basis:28992297"",""k"",""1971-01-01"",""2015-01-01"""
"59509,""718300"",""870970-basis:44963558"",""k"",""1981-01-01"",""2015-01-01"""
"59510,""718300"",""870970-basis:29139091"",""k"",""1980-01-01"",""2015-01-01"""
"59510,""718300"",""870970-basis:28959702"",""k"",""1980-01-01"",""2015-01-01"""
"64492,""718300"",""870970-basis:51187687"",""k"",""2005-01-01"",""2015-01-01"""
"59512,""718300"",""870970-basis:28435460"",""m"",""1968-01-01"",""2015-01-01"""
"59513,""718300"",""870970-basis:26667852"",""m"",""2001-01-01"",""2015-01-01"""
"59514,""718300"",""870970-basis:28714289"",""k"",""1944-01-01"",""2015-01-01"""
"59515,""718300"",""810015-katalog:008630458"",""m"",""1969-01-01"",""2015-01-01"""
"59516,""718300"",""820030-katalog:1391902"",""k"",""1976-01-01"",""2015-01-01"""
"75810,""718300"",""870970-basis:51326938"",""m"",""1943-01-01"",""2015-01-01"""
"59518,""718300"",""870970-basis:26652006"",""k"",""1971-01-01"",""2015-01-01"""
"59519,""718300"",""870970-basis:24856828"",""k"",""1977-01-01"",""2015-01-01"""
"59519,""718300"",""870970-basis:23603225"",""k"",""1977-01-01"",""2015-01-01"""
"59520,""718300"",""870970-basis:27464289"",""k"",""1996-01-01"",""2015-01-01"""
"59521,""718300"",""870970-basis:28591322"",""m"",""1953-01-01"",""2015-01-01"""
"59522,""718300"",""870970-basis:28897472"",""k"",""1985-01-01"",""2015-01-01"""
"75811,""718300"",""870970-basis:45603318"",""k"",""1937-01-01"",""2015-01-01"""
"59524,""718300"",""870970-basis:27929273"",""k"",""1948-01-01"",""2015-01-01"""
"59525,""718300"",""870970-basis:50936244"",""k"",""2003-01-01"",""2015-01-01"""
"59526,""718300"",""870970-basis:26071402"",""k"",""2003-01-01"",""2015-01-01"""
"59527,""718300"",""870970-basis:50532682"",""k"",""1944-01-01"",""2015-01-01"""
"59528,""718300"",""870970-basis:27936458"",""k"",""1950-01-01"",""2015-01-01"""
"59529,""718300"",""870970-basis:28641745"",""m"",""1941-01-01"",""2015-01-01"""
"64504,""718300"",""870970-basis:26912245"",""k"",""1973-01-01"",""2015-01-01"""
"59531,""718300"",""870970-basis:51399382"",""k"",""1962-01-01"",""2015-01-01"""
"75812,""718300"",""870970-basis:51438566"",""m"",""1998-01-01"",""2015-01-01"""
"75813,""718300"",""870970-basis:27633331"",""m"",""1973-01-01"",""2015-01-01"""
"59533,""718300"",""870970-basis:27997570"",""m"",""1976-01-01"",""2015-01-01"""
"64507,""718300"",""870970-basis:29817782"",""m"",""1963-01-01"",""2015-01-01"""
"59535,""718300"",""870970-basis:51146336"",""k"",""2002-01-01"",""2015-01-01"""
"59536,""718300"",""870970-basis:07338929"",""m"",""1958-01-01"",""2015-01-01"""
"59537,""718300"",""870970-basis:25745876"",""m"",""1937-01-01"",""2015-01-01"""
"75814,""718300"",""870970-basis:28986203"",""k"",""1943-01-01"",""2015-01-01"""
"59539,""718300"",""870970-basis:50765083"",""k"",""2003-01-01"",""2015-01-01"""
"59540,""718300"",""870970-basis:29891966"",""k"",""1948-01-01"",""2015-01-01"""
"59541,""718300"",""870970-basis:51134338"",""k"",""2005-01-01"",""2015-01-01"""
"59542,""739000"",""870970-basis:28227086"",""k"",""1951-01-01"",""2015-01-01"""
"75815,""739000"",""870970-basis:40879757"",""m"",""1966-01-01"",""2015-01-01"""
"49223,""739000"",""870970-basis:25516397"",""k"",""1949-01-01"",""2015-01-01"""
"59544,""739000"",""870970-basis:26182255"",""k"",""2006-01-01"",""2015-01-01"""
"59545,""739000"",""870970-basis:51157435"",""m"",""1974-01-01"",""2015-01-01"""
"27142,""739000"",""870970-basis:51466217"",""k"",""1944-01-01"",""2015-01-01"""
"59547,""739000"",""870970-basis:29955468"",""m"",""1958-01-01"",""2015-01-01"""
"75816,""739000"",""870970-basis:27673031"",""m"",""1980-01-01"",""2015-01-01"""
"54229,""739000"",""870970-basis:25902963"",""k"",""1961-01-01"",""2015-01-01"""
"59549,""739000"",""870970-basis:28977840"",""m"",""2006-01-01"",""2015-01-01"""
"59550,""739000"",""870970-basis:04483855"",""m"",""1953-01-01"",""2015-01-01"""
"59551,""739000"",""870970-basis:25245687"",""m"",""1968-01-01"",""2015-01-01"""
"59551,""739000"",""870970-basis:05778530"",""m"",""1968-01-01"",""2015-01-01"""
"75817,""739000"",""820010-katalog:2519027"",""k"",""1939-01-01"",""2015-01-01"""
"59554,""739000"",""870970-basis:29978891"",""k"",""1945-01-01"",""2015-01-01"""
"75818,""739000"",""870970-basis:26900506"",""k"",""1934-01-01"",""2015-01-01"""
"59556,""739000"",""870970-basis:25960459"",""k"",""1967-01-01"",""2015-01-01"""
